iteration,secondPartCharge,compensationCharge,waterUndertaker,volume,source,eiucSource,season,loss,region,abatementAdjustment,s127Agreement,s130Agreement,billableDays,abstractableDays,expChargeValue,expSucFactor,expVolumeFactor,expSourceFactor,expSeasonFactor,expLossFactor,expAbatementAdjustment,expS127Agreement,expS130Agreement,expEiucSourceFactor,expEiucFactor,expDP_sourceFactor,expDP_seasonFactor,expDP_lossFactor,expDP_volumeFactor,expDP_abatementAdjustment,expDP_s127Agreement,expDP_s130Agreement,expDP_secondPartCharge,expDP_waterUndertaker,expDP_eiucFactor,expDP_compensationCharge,expDP_eiucSourceFactor,expDP_sucFactor
100,false,false,false,1.001,Kielder,,All Year,Low,Wye,1.00,false,false,309,365,3.29,14.40,1.001,9.0,1.0,0.03,S126 x 1.0,,,0.0,0.0,9.009,9.009,0.27027,1.001,3.891888,3.891888,3.891888,false,false,0,false,0,3.891888
101,false,false,false,321,Kielder,,Summer,Very Low,Anglian,0.40,false,false,355,355,152.59,27.51,321,9.0,1.6,0.003,S126 x 0.4,,,0.0,0.0,2889,4622.4,13.8672,321,152.5946688,152.5946688,152.5946688,false,false,0,false,0,381.486672
102,false,false,false,2.212,Kielder,,Winter,High,Devon and Cornwall (South West),1.00,true,true,365,365,26.16,19.71,2.212,9.0,0.16,1.0,S126 x 1.0,S127 x 0.5,S130S x 0.833,0.0,0.0,19.908,3.18528,3.18528,2.212,62.7818688,31.3909344,26.15911199,false,false,0,false,0,62.7818688
103,true,false,false,0.999,Supported,Supported,All Year,High,Midlands,1.00,true,true,0,0,18.67,14.95,0.999,3.0,1.0,1.0,S126 x 1.0,S127 x 0.5,S130S x 0.833,0.0,0.0,2.997,2.997,2.997,0.999,44.80515,22.402575,18.66881249,true,false,0,false,0,44.80515
104,false,false,false,8180,Supported,,Summer,Medium,North and South Wessex,1.00,false,false,0,2,0.00,19.71,8180,3.0,1.6,0.6,S126 x 1.0,,,0.0,0.0,24540,39264,23558.4,8180,464336.064,464336.064,464336.064,false,false,0,false,0,464336.064
105,false,true,false,3.1,Unsupported,Unsupported,Winter,Low,Northumbria,1.00,false,false,365,365,0.00,0,3.1,0,0.16,0.03,S126 x 1.0,,,1.0,0.00,0,0.496,0.01488,3.1,0,0,0,false,false,0,true,3.1,0
106,false,true,false,0.009,Unsupported,Tidal,All Year,Very Low,North and South Wessex,1.00,false,true,214,366,0.00,0,0.009,0,1.0,0.003,S126 x 1.0,,S130U x 0.5,0.2,0.00,0,0.0018,0.0000054,0.009,0,0,0,false,false,0,true,0.0018,0
107,false,false,false,100.2,Tidal,,All Year,High,North West,0.50,false,false,366,366,125.95,12.57,100.2,0.2,1.0,1.0,S126 x 0.5,,,0.0,0.0,20.04,20.04,20.04,100.2,125.9514,125.9514,125.9514,false,false,0,false,0,251.9028
108,false,false,false,14.3185,Unsupported,,Summer,High,Wales,1.00,true,false,134,214,103.29,14.40,14.3185,1.0,1.6,1.0,S126 x 1.0,S127 x 0.5,,0.0,0.0,14.3185,22.9096,22.9096,14.3185,329.89824,164.94912,164.94912,false,false,0,false,0,329.89824
109,false,true,false,5.4,Unsupported,Unsupported,All Year,Medium,Thames,0.50,false,false,366,366,6.33,0,5.4,0,1.0,0.6,S126 x 0.5,,,1.0,3.91,0,5.4,3.24,5.4,6.3342,0,6.3342,false,false,12.6684,true,5.4,0
110,false,true,false,32.991,Unsupported,Other,Summer,High,Thames,1.00,false,false,31,245,26.11,0,32.991,0,1.6,1.0,S126 x 1.0,,,1.0,3.91,0,52.7856,52.7856,32.991,206.391696,0,206.391696,false,false,206.391696,true,32.991,0
111,false,false,false,99.092,Supported,,Summer,High,South West (incl Wessex),1.00,false,false,287,365,7371.49,19.71,99.092,3.0,1.6,1.0,S126 x 1.0,,,0.0,0.0,297.276,475.6416,475.6416,99.092,9374.895936,9374.895936,9374.895936,false,false,0,false,0,9374.895936
112,true,false,false,75,Supported, ,Winter,High,North and South Wessex,1.00,true,false,0,0,354.78,19.71,75,3.0,0.16,1.0,S126 x 1.0,S127 x 0.5,,0.0,0.0,225,36,36,75,709.56,354.78,354.78,true,false,0,false,0,709.56
113,false,true,false,202.202,Tidal,Kielder,All Year,Very Low,Devon and Cornwall (South West),0.50,false,false,6,45,0.00,0,202.202,0,1.0,0.003,S126 x 0.5,,,1.0,0.00,0,202.202,0.606606,202.202,0,0,0,false,false,0,true,202.202,0
114,true,false,false,0,Supported,Unsupported,Winter,Low,Devon and Cornwall (South West),1.00,false,false,0,0,0.00,19.71,0,3.0,0.16,0.03,S126 x 1.0,,,0.0,0.0,0,0,0,0,0,0,0,true,false,0,false,0,0
115,true,false,false,0.001,Tidal,Unsupported,Summer,Medium,Wales,1.00,false,false,0,0,0.00,14.40,0.001,0.2,1.6,0.6,S126 x 1.0,,,0.0,0.0,0.0002,0.00032,0.000192,0.001,0.0027648,0.0027648,0.0027648,true,false,0,false,0,0.0027648
116,true,false,false,0.001,Unsupported,Unsupported,Summer,High,Thames,1.00,false,true,0,0,0.01,13.84,0.001,1.0,1.6,1.0,S126 x 1.0,,S130U x 0.5,0.0,0.0,0.001,0.0016,0.0016,0.001,0.022144,0.022144,0.011072,true,false,0,false,0,0.022144
117,true,false,false,3637,Supported,Tidal,Winter,High,North and South Wessex,1.00,false,true,0,0,28674.11,19.71,3637,3.0,0.16,1.0,S126 x 1.0,,S130S x 0.833,0.0,0.0,10911,1745.76,1745.76,3637,34408.9296,34408.9296,28674.10799,true,false,0,false,0,34408.9296
118,true,false,false,1.1,Kielder,Unsupported,All Year,Low,Devon and Cornwall (South West),1.00,false,false,0,0,5.85,19.71,1.1,9.0,1.0,0.03,S126 x 1.0,,,0.0,0.0,9.9,9.9,0.297,1.1,5.85387,5.85387,5.85387,true,false,0,false,0,5.85387
119,true,false,false,404.404,Kielder,Supported,Winter,High,South West (incl Wessex),1.00,false,false,0,0,11477.96,19.71,404.404,9.0,0.16,1.0,S126 x 1.0,,,0.0,0.0,3639.636,582.34176,582.34176,404.404,11477.95609,11477.95609,11477.95609,true,false,0,false,0,11477.95609
120,true,false,false,2,Kielder,Unsupported,All Year,Low,Wales,1.00,false,true,0,0,6.48,14.40,2,9.0,1.0,0.03,S126 x 1.0,,S130S x 0.833,0.0,0.0,18,18,0.54,2,7.776,7.776,6.479999997,true,false,0,false,0,7.776
121,true,false,false,0.009,Kielder,Supported,Summer,Low,Devon and Cornwall (South West),1.00,false,false,0,0,0.08,19.71,0.009,9.0,1.6,0.03,S126 x 1.0,,,0.0,0.0,0.081,0.1296,0.003888,0.009,0.07663248,0.07663248,0.07663248,true,false,0,false,0,0.07663248
122,true,false,false,1,Unsupported,Unsupported,Winter,Medium,North and South Wessex,1.00,false,true,0,0,0.95,19.71,1,1.0,0.16,0.6,S126 x 1.0,,S130U x 0.5,0.0,0.0,1,0.16,0.096,1,1.89216,1.89216,0.94608,true,false,0,false,0,1.89216
123,true,false,false,0.999,Unsupported,Supported,All Year,High,Wales,1.00,true,true,0,0,3.60,14.40,0.999,1.0,1.0,1.0,S126 x 1.0,S127 x 0.5,S130U x 0.5,0.0,0.0,0.999,0.999,0.999,0.999,14.3856,7.1928,3.5964,true,false,0,false,0,14.3856
124,true,false,false,75,Unsupported, ,Winter,High,Devon and Cornwall (South West),1.00,true,false,0,0,118.26,19.71,75,1.0,0.16,1.0,S126 x 1.0,S127 x 0.5,,0.0,0.0,75,12,12,75,236.52,118.26,118.26,true,false,0,false,0,236.52
125,false,true,false,0,Tidal,Unsupported,Winter,High,Thames,1.00,false,false,214,366,0.00,0,0,0,0.16,1.0,S126 x 1.0,,,1.0,3.91,0,0,0,0,0,0,0,false,false,0,true,0,0
126,false,true,false,3.1,Supported,Unsupported,Winter,Low,North and South Wessex,1.00,false,false,365,365,0.00,0,3.1,0,0.16,0.03,S126 x 1.0,,,1.0,0.00,0,0.496,0.01488,3.1,0,0,0,false,false,0,true,3.1,0
127,false,true,false,0.009,Unsupported,Tidal,All Year,Very Low,Wales,1.00,false,true,214,366,0.00,0,0.009,0,1.0,0.003,S126 x 1.0,,S130U x 0.5,0.2,0.00,0,0.0018,0.0000054,0.009,0,0,0,false,false,0,true,0.0018,0
128,false,true,false,5.4,Kielder,Unsupported,All Year,Medium,Wales,0.50,false,false,366,366,0.00,0,5.4,0,1.0,0.6,S126 x 0.5,,,1.0,0.00,0,5.4,3.24,5.4,0,0,0,false,false,0,true,5.4,0
129,false,true,false,32.991,Kielder,Other,Summer,High,Thames,1.00,false,false,31,245,26.11,0,32.991,0,1.6,1.0,S126 x 1.0,,,1.0,3.91,0,52.7856,52.7856,32.991,206.391696,0,206.391696,false,false,206.391696,true,32.991,0
130,false,true,true,202.202,Tidal,Kielder,All Year,Very Low,Devon and Cornwall (South West),0.50,false,false,6,45,0.00,0,202.202,0,1.0,0.003,S126 x 0.5,,,1.0,0.00,0,202.202,0.606606,202.202,0,0,0,false,true,0,true,202.202,0
